0.36	0	0	0
0.36	-0.0005445	0	0.33
0.36	-0.002178	0	0.66
0.36	-0.0049005	0	0.99
0.36	-0.0082	0	1.32
0.36	-0.0115	0	1.65
0.36	-0.0148	0	1.98
0.36	-0.0181	0	2.31
0.36	-0.0214	0	2.64
0.36	-0.0247	0	2.97
0.36	-0.028	0	3.3
0.36	-0.0313	0	3.63
0.36	-0.0346	0	3.96
0.36	-0.0379	0	4.29
0.36	-0.0412	0	4.62
0.36	-0.0445	0	4.95
0.36	-0.0478	0	5.28
0.36	-0.0511	0	5.61
0.36	-0.0544	0	5.94
0.36	-0.0577	0	6.27
0.36	-0.061	0	6.6
0.36	-0.0643	0	6.93
0.36	-0.0676	0	7.26
0.36	-0.0709	0	7.59
0.36	-0.0742	0	7.92
0.36	-0.0775	0	8.25
0.36	-0.0808	0	8.58
0.36	-0.0841	0	8.91
0.36	-0.0874	0	9.24
0.36	-0.0907	0	9.57
0.36	-0.094	0	9.9
0.36	-0.0973	0	10.23
0.36	-0.1006	0	10.56
0.36	-0.1039	0	10.89
0.36	-0.1072	0	11.22
0.36	-0.1105	0	11.55
0.36	-0.1138	0	11.88
0.36	-0.1171	0	12.21
0.36	-0.1204	0	12.54
0.36	-0.1237	0	12.87
0.36	-0.127	0	13.2
0.36	-0.1303	0	13.53
0.36	-0.1336	0	13.86
0.36	-0.1369	0	14.19
0.36	-0.1402	0	14.52
0.36	-0.1435	0	14.85
0.36	-0.1468	0	15.18
0.36	-0.1501	0	15.51
0.36	-0.1534	0	15.84
0.36	-0.1567	0	16.17
0.36	-0.16	0	16.5
0.36	-0.1633	0	16.83
0.36	-0.1666	0	17.16
0.36	-0.1699	0	17.49
0.36	-0.1732	0	17.82
0.36	-0.1765	0	18.15
0.36	-0.1798	0	18.48
0.36	-0.1831	0	18.81
0.36	-0.1864	0	19.14
0.36	-0.1897	0	19.47
0.36	-0.193	0	19.8
0.36	-0.1963	0	20.13
0.36	-0.1996	0	20.46
0.36	-0.2029	0	20.79
0.36	-0.2062	0	21.12
0.36	-0.2095	0	21.45
0.36	-0.2128	0	21.78
0.36	-0.2161	0	22.11
0.36	-0.2194	0	22.44
0.36	-0.2227	0	22.77
0.36	-0.226	0	23.1
0.36	-0.2293	0	23.43
0.36	-0.2326	0	23.76
0.36	-0.2359	0	24.09
0.36	-0.2392	0	24.42
0.36	-0.2425	0	24.75
0.36	-0.2458	0	25.08
0.36	-0.2491	0	25.41
0.36	-0.2524	0	25.74
0.36	-0.2557	0	26.07
0.36	-0.259	0	26.4
0.36	-0.2623	0	26.73
0.36	-0.2656	0	27.06
0.36	-0.2689	0	27.39
0.36	-0.2722	0	27.72
0.36	-0.2755	0	28.05
0.36	-0.2788	0	28.38
0.36	-0.2821	0	28.71
0.36	-0.2854	0	29.04
0.36	-0.2887	0	29.37
0.36	-0.292	0	29.7
0.36	-0.295295	0	30.03
0.36	-0.297952	0	30.36
0.36	-0.299519	0	30.69
0.36	-0.3	0	31.02
